Tool,Compiler,Benchmark,Application,#nodes,#processes,avg Runtime(s)-real,avg Runtime(s)-user, avg Size(KB)
pinAll,mpicc,pkifmm,ex2-1,4,64,4.5720000000000001,1.1243333333333334,0.0654296875
pinAll,mpicc,pkifmm,ex2-2,4,64,4.575333333333333,1.1200000000000001,0.0654296875
pinAll,mpicc,pkifmm,ex3-1,4,64,5.4186666666666667,1.1246666666666665,0.064453125
pinAll,mpicc,pkifmm,ex3-2,4,64,4.8356666666666674,1.1286666666666667,0.064453125
pinMain,mpicc,amg,amg1,1,16,4.4803333333333333,0.90466666666666662,0.0654296875
pinMain,mpicc,amg,amg2,1,16,4.573666666666667,0.90200000000000014,0.0654296875
pinMain,mpicc,amg,amg3,1,16,6.2699999999999996,0.90000000000000002,0.0654296875
pinMain,mpicc,amg,amg4,1,16,5.0426666666666664,0.89433333333333342,0.0654296875
pinMain,mpicc,amg,amg1,4,64,4.9326666666666661,1.0896666666666668,0.064453125
pinMain,mpicc,amg,amg2,4,64,4.780333333333334,1.0816666666666668,0.064453125
pinMain,mpicc,amg,amg3,4,64,5.8539999999999992,1.0860000000000001,0.064453125
pinMain,mpicc,amg,amg4,4,64,4.5106666666666664,1.0840000000000001,0.064453125
pinMain,mpicc,hpgmg,fe,1,16,4.5699999999999994,0.90600000000000003,0.064453125
pinMain,mpicc,hpgmg,fv1,1,16,4.4816666666666665,0.90233333333333332,0.064453125
pinMain,mpicc,hpgmg,fv2,1,16,5.0583333333333336,0.90700000000000003,0.064453125
pinMain,mpicc,hpgmg,fv3,1,16,6.2359999999999998,0.91233333333333333,0.064453125
pinMain,mpicc,hpgmg,fe,4,64,5.2143333333333333,1.0833333333333333,0.05078125
pinMain,mpicc,hpgmg,fv1,4,64,4.9346666666666659,1.0899999999999999,0.064453125
pinMain,mpicc,hpgmg,fv2,4,64,4.5140000000000002,1.0860000000000001,0.064453125
pinMain,mpicc,hpgmg,fv3,4,64,5.8386666666666658,1.0883333333333334,0.064453125
pinMain,mpicc,nas,bt,1,16,4.7606666666666664,0.90266666666666673,0.064453125
pinMain,mpicc,nas,cg,1,16,4.8426666666666662,0.89933333333333343,0.064453125
pinMain,mpicc,nas,ep,1,16,5.0026666666666664,0.89633333333333332,0.064453125
pinMain,mpicc,nas,ft,1,16,4.5603333333333325,0.89533333333333331,0.064453125
pinMain,mpicc,nas,is,1,16,5.1413333333333329,0.89733333333333343,0.064453125
pinMain,mpicc,nas,lu,1,16,5.0606666666666662,0.89833333333333343,0.064453125
pinMain,mpicc,nas,mg,1,16,6.1643333333333326,0.90433333333333332,0.064453125
pinMain,mpicc,nas,sp,1,16,5.4026666666666658,0.89433333333333342,0.064453125
pinMain,mpicc,nas,bt,4,64,4.9119999999999999,1.0883333333333334,0.064453125
pinMain,mpicc,nas,cg,4,64,4.7920000000000007,1.0726666666666667,0.064453125
pinMain,mpicc,nas,ep,4,64,4.5156666666666663,1.0883333333333334,0.064453125
pinMain,mpicc,nas,ft,4,64,4.9456666666666669,1.0799999999999998,0.064453125
pinMain,mpicc,nas,is,4,64,4.5043333333333333,1.095,0.064453125
pinMain,mpicc,nas,lu,4,64,4.5103333333333335,1.0800000000000001,0.064453125
pinMain,mpicc,nas,mg,4,64,6.4536666666666669,1.0793333333333333,0.064453125
pinMain,mpicc,nas,sp,4,64,5.181,1.0796666666666666,0.064453125
pinMain,mpicc,pkifmm,ex0-1,1,16,4.5013333333333332,0.90766666666666662,0.0654296875
pinMain,mpicc,pkifmm,ex0-2,1,16,6.1920000000000002,0.90666666666666673,0.0654296875
pinMain,mpicc,pkifmm,ex1-1,1,16,4.9753333333333343,0.91033333333333333,0.0654296875
pinMain,mpicc,pkifmm,ex1-2,1,16,4.6623333333333328,0.90233333333333332,0.0654296875
pinMain,mpicc,pkifmm,ex2-1,1,16,4.657,0.90433333333333332,0.0654296875
pinMain,mpicc,pkifmm,ex2-2,1,16,4.4893333333333336,0.90766666666666673,0.0654296875
pinMain,mpicc,pkifmm,ex3-1,1,16,4.4826666666666668,0.91133333333333333,0.0654296875
pinMain,mpicc,pkifmm,ex3-2,1,16,4.8966666666666674,0.91066666666666674,0.0654296875
pinMain,mpicc,pkifmm,ex0-1,4,64,5.1749999999999998,1.0853333333333335,0.064453125
pinMain,mpicc,pkifmm,ex0-2,4,64,5.6873333333333322,1.099,0.064453125
pinMain,mpicc,pkifmm,ex1-1,4,64,4.8220000000000001,1.0856666666666668,0.064453125
pinMain,mpicc,pkifmm,ex1-2,4,64,4.7123333333333335,1.0880000000000001,0.064453125
pinMain,mpicc,pkifmm,ex2-1,4,64,4.5339999999999998,1.0896666666666668,0.064453125
pinMain,mpicc,pkifmm,ex2-2,4,64,4.5100000000000007,1.0896666666666668,0.064453125
pinMain,mpicc,pkifmm,ex3-1,4,64,5.0283333333333333,1.0983333333333334,0.064453125
pinMain,mpicc,pkifmm,ex3-2,4,64,4.8259999999999996,1.0993333333333335,0.064453125
tau_exec,mpicc,amg,amg1,1,16,37.56433333333333,0.89966666666666673,357422.5830078125
tau_exec,mpicc,amg,amg2,1,16,18.756,0.90433333333333332,287681.5615234375
tau_exec,mpicc,amg,amg3,1,16,9.7026666666666674,0.91400000000000003,193312.7685546875
tau_exec,mpicc,amg,amg4,1,16,7.1333333333333329,0.90033333333333332,176562.5068359375
tau_exec,mpicc,amg,amg1,4,64,50.703333333333326,1.1216666666666666,3313932.1240234375
tau_exec,mpicc,amg,amg2,4,64,26.723333333333333,1.119,2736281.9619140625
tau_exec,mpicc,amg,amg3,4,64,14.880333333333335,1.1373333333333333,1946379.537109375
tau_exec,mpicc,amg,amg4,4,64,14.153,1.1280000000000001,2101497.73828125
tau_exec,mpicc,hpgmg,fe,1,16,15.340999999999999,0.93066666666666664,238637.9580078125
tau_exec,mpicc,hpgmg,fv1,1,16,161.61233333333334,2.036,4491306.5166015625
tau_exec,mpicc,hpgmg,fv2,1,16,178.41233333333332,1.0423333333333333,7914130.4951171875
tau_exec,mpicc,hpgmg,fv3,1,16,201.25066666666666,0.98299999999999998,4464687.2265625
tau_exec,mpicc,hpgmg,fe,4,64,19.549666666666667,1.1143333333333334,1024129.2138671875
tau_exec,mpicc,hpgmg,fv1,4,64,173.29566666666668,1.2386666666666668,20931366.288085938
tau_exec,mpicc,hpgmg,fv2,4,64,198.52533333333335,1.1519999999999999,19600210.892578125
